2023-02-23 14:02:664 INFO  BrowserSelector :39 - Launching Chrome Browser
2023-02-23 14:02:96 INFO  SignInPage :49 - Enter emailbasic.test.user@gridedge.co.ukOn Email Field[[ChromeDriver: chrome on WINDOWS (54880e54ee87f2fb870bcdca1e8fbbe1)] -> css selector: [placeholder=Email]]
2023-02-23 14:02:270 INFO  SignInPage :55 - Enter password0&Mq9#i*$$RtOn password Field[[ChromeDriver: chrome on WINDOWS (54880e54ee87f2fb870bcdca1e8fbbe1)] -> css selector: [placeholder=Password]]
2023-02-23 14:02:359 INFO  SignInPage :61 - Click on check box button[[ChromeDriver: chrome on WINDOWS (54880e54ee87f2fb870bcdca1e8fbbe1)] -> class name: mat-checkbox-inner-container]
2023-02-23 14:02:524 INFO  SignInPage :67 - Click on Sign In buttonProxy element for: DefaultElementLocator 'By.id: signInButton'
2023-02-23 14:02:334 INFO  SignInPage :72 - Getting porfolio title on the page Proxy element for: DefaultElementLocator 'By.id: signInButton'
2023-02-23 14:02:572 INFO  PortfolioPage :42 - Click on Energy Tracker button[[ChromeDriver: chrome on WINDOWS (54880e54ee87f2fb870bcdca1e8fbbe1)] -> xpath: //body/app-root[1]/div[1]/div[2]/mat-drawer-container[1]/mat-drawer-content[1]/div[1]/div[2]/app-portfolio[1]/div[1]/div[2]/div[1]/div[2]/app-portfolio-card[1]/mat-card[1]/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/button[1]/span[1]/span[1]]
2023-02-23 14:02:732 INFO  EnergyTrackerPage :42 - Getting Custom Date Range text message[[ChromeDriver: chrome on WINDOWS (54880e54ee87f2fb870bcdca1e8fbbe1)] -> xpath: //span[contains(text(),'Custom Date Range')]]
2023-02-23 17:02:651 INFO  BrowserSelector :39 - Launching Chrome Browser
2023-02-23 17:02:158 INFO  SignInPage :49 - Enter emailbasic.test.user@gridedge.co.ukOn Email Field[[ChromeDriver: chrome on WINDOWS (a2f97bad96a10b6ea32dc2d3693c0a41)] -> css selector: [placeholder=Email]]
2023-02-23 17:02:325 INFO  SignInPage :55 - Enter password0&Mq9#i*$$RtOn password Field[[ChromeDriver: chrome on WINDOWS (a2f97bad96a10b6ea32dc2d3693c0a41)] -> css selector: [placeholder=Password]]
2023-02-23 17:02:428 INFO  SignInPage :61 - Click on check box button[[ChromeDriver: chrome on WINDOWS (a2f97bad96a10b6ea32dc2d3693c0a41)] -> class name: mat-checkbox-inner-container]
2023-02-23 17:02:606 INFO  SignInPage :67 - Click on Sign In buttonProxy element for: DefaultElementLocator 'By.id: signInButton'
2023-02-23 17:02:266 INFO  SignInPage :72 - Getting porfolio title on the page Proxy element for: DefaultElementLocator 'By.id: signInButton'
2023-02-23 17:02:433 INFO  PortfolioPage :42 - Click on Energy Tracker button[[ChromeDriver: chrome on WINDOWS (a2f97bad96a10b6ea32dc2d3693c0a41)] -> xpath: //body/app-root[1]/div[1]/div[2]/mat-drawer-container[1]/mat-drawer-content[1]/div[1]/div[2]/app-portfolio[1]/div[1]/div[2]/div[1]/div[2]/app-portfolio-card[1]/mat-card[1]/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/button[1]/span[1]/span[1]]
2023-02-23 17:02:654 INFO  EnergyTrackerPage :42 - Getting Custom Date Range text messageProxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Custom Date Range')]'
2023-02-23 17:02:318 INFO  BrowserSelector :39 - Launching Chrome Browser
2023-02-23 17:02:880 INFO  SignInPage :49 - Enter emailbasic.test.user@gridedge.co.ukOn Email Field[[ChromeDriver: chrome on WINDOWS (f64e69f5f3764bbc51eeff79ba12133c)] -> css selector: [placeholder=Email]]
2023-02-23 17:02:996 INFO  SignInPage :55 - Enter password0&Mq9#i*$$RtOn password Field[[ChromeDriver: chrome on WINDOWS (f64e69f5f3764bbc51eeff79ba12133c)] -> css selector: [placeholder=Password]]
2023-02-23 17:02:99 INFO  SignInPage :61 - Click on check box button[[ChromeDriver: chrome on WINDOWS (f64e69f5f3764bbc51eeff79ba12133c)] -> class name: mat-checkbox-inner-container]
2023-02-23 17:02:300 INFO  SignInPage :67 - Click on Sign In buttonProxy element for: DefaultElementLocator 'By.id: signInButton'
